start_ip,end_ip,start_ip_hex,end_ip_hex,prefix_len,country,province,city,district,isp,division_code,latitude,longitude,geo_level,idc_vendor,cidr
2400:d720::,2400:d720:ffff:ffff:ffff:ffff:ffff:ffff,2400d720000000000000000000000000,2400d720ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:d720::/32
2400:d780::,2400:d780:ffff:ffff:ffff:ffff:ffff:ffff,2400d780000000000000000000000000,2400d780ffffffffffffffffffffffff,32,中国,重庆,,,,500000,29.56268,106.551787,province,,2400:d780::/32
2400:d7a0::,2400:d7a0:ffff:ffff:ffff:ffff:ffff:ffff,2400d7a0000000000000000000000000,2400d7a0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:d7a0::/32
2400:da00::,2400:da00:ffff:ffff:ffff:ffff:ffff:ffff,2400da00000000000000000000000000,2400da00ffffffffffffffffffffffff,32,中国,北京,,,,110000,39.904179,116.407387,province,百度云,2400:da00::/32
2400:da60::,2400:da60:ffff:ffff:ffff:ffff:ffff:ffff,2400da60000000000000000000000000,2400da60ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:da60::/32
2400:db00::,2400:db00:ffff:ffff:ffff:ffff:ffff:ffff,2400db00000000000000000000000000,2400db00ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2400:db00::/32
2400:dd00::,2400:dd0f:ffff:ffff:ffff:ffff:ffff:ffff,2400dd00000000000000000000000000,2400dd0fffffffffffffffffffffffff,28,中国,新疆,,,,650000,43.793301,87.628579,province,,2400:dd00::/28
2400:dd40::,2400:dd40:ffff:ffff:ffff:ffff:ffff:ffff,2400dd40000000000000000000000000,2400dd40ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:dd40::/32
2400:dd60::,2400:dd60:ffff:ffff:ffff:ffff:ffff:ffff,2400dd60000000000000000000000000,2400dd60ffffffffffffffffffffffff,32,中国香港,香港,,,香港,,,,country,,2400:dd60::/32
2400:dda0::,2400:dda0:ffff:ffff:ffff:ffff:ffff:ffff,2400dda0000000000000000000000000,2400dda0ffffffffffffffffffffffff,32,中国,,,,,,,,country,,2400:dda0::/32
